sourceIndex,status,score,sourceName,seed,item,en,name,country,lat,lng,category,wikiEnTitle,wikiRuTitle,image,typeLabel,note
,error,,,Devonshire,,,,,,,mountain,,,,,This operation was aborted
,error,,,Anegada,,,,,,,mountain,,,,,This operation was aborted
,error,,,Falkland Islands (Islas Malvinas),,,,,,,mountain,,,,,This operation was aborted
,error,,,Gibraltar,,,,,,,mountain,,,,,This operation was aborted
,error,,,Carrickfergus,,,,,,,mountain,,,,,This operation was aborted
,unresolved,,,Redonda,,,,,,,forest,,,,,no country/category candidate above threshold
,error,,,Adélie Land,,,,,,,desert,,,,,This operation was aborted
,error,,,Auvergne,,,,,,,desert,,,,,This operation was aborted
,error,,,Bourgogne,,,,,,,desert,,,,,This operation was aborted
,error,,,Iles Kerguelen,,,,,,,desert,,,,,This operation was aborted
,error,,,Marie-Galante,,,,,,,desert,,,,,This operation was aborted
,unresolved,,,Governor's Harbour,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Green Turtle Cay,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Bimini,,,,,,,forest,,,,,no country/category candidate above threshold
,unresolved,,,Al Hadd,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Ar Rifa' wa al Mintaqah al Janubiyah,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Jidd Hafs,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Al Manamah,,,,,,,forest,,,,,no country/category candidate above threshold
,unresolved,,,Al Mintaqah ash Shamaliyah,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Barisal,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Sylhet,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Chittagong,,,,,,,forest,,,,,no country/category candidate above threshold
,unresolved,,,Dhaka,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Khulna,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Bridgetown,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Horad Minsk,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Liege,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Francistown,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Ghanzi,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Kgatleng,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Kweneng,,,,,,,mountain,,,,,no country/category candidate above threshold
,error,,,Tortola,,,,,,,desert,,,,,This operation was aborted
,error,,,Armagh,,,,,,,desert,,,,,This operation was aborted
,error,,,Ballymoney,,,,,,,desert,,,,,This operation was aborted
,unresolved,,,Temburong,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Banwa,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Bougouriba,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Boulkiemde,,,,,,,mountain,,,,,no country/category candidate above threshold
