status,index,name_ru,name_en,description_ru,facts_ru,description_en,facts_en,notes
imported,581,Светящийся пляж Ваадху,Vaadhoo Bioluminescent Beach,yes,1,yes,1,
imported,450,Вади Шаб,Wadi Shab,yes,1,yes,1,
imported,582,Впадина То-Суа,To Sua Ocean Trench,yes,1,yes,1,
imported,635,Скала Край Света,Edge of the World,yes,1,yes,1,
imported,192,Гора Эммонс,Mount Emmons (Colorado),yes,1,yes,1,
imported,629,Ущелье Такачихо,Takachiho Gorge,yes,1,yes,1,
imported,2449,Алжир,Algiers,yes,1,yes,1,
imported,2491,Гардая,Ghardaïa,yes,1,yes,1,
imported,2598,Ереван,Yerevan,yes,1,yes,1,
imported,2557,Зальцбург,Salzburg,yes,1,yes,1,
imported,2589,Вена,Vienna,yes,1,yes,1,
imported,2530,Мухаррак,Muharraq,yes,1,yes,1,
imported,2465,Бриджтаун,Bridgetown,yes,1,yes,1,
imported,2466,Брюссельский столичный регион,Brussels,yes,1,yes,1,
imported,1464,Город Бразилиа,Brasilia,yes,1,yes,1,
imported,2477,Сидади-Велья,Cidade Velha,yes,1,yes,1,
imported,2474,Чэндэ,Chengde,yes,1,yes,1,
imported,2520,Лицзян,Lijiang,yes,1,yes,1,
imported,2577,Сучжоу,Suzhou,yes,1,yes,1,
imported,2373,Гавана,Havana,yes,1,yes,1,
imported,2593,Виллемстад,Willemstad,yes,1,yes,1,
imported,2583,Тршебич,Trebíc,yes,1,yes,1,
imported,2471,Каир,Cairo,yes,1,yes,1,
imported,2578,Таллин,Tallinn,yes,1,yes,1,
imported,2467,Будапешт,Budapest,yes,1,yes,1,
imported,2483,Денпасар,Denpasar,yes,1,yes,1,
imported,2574,Суракарта,Surakarta,yes,1,yes,1,
imported,2508,Иерусалим,Jerusalem,yes,1,yes,1,
imported,2528,Момбаса,Mombasa,yes,1,yes,1,
imported,2552,Рига,Riga,yes,1,yes,1,
imported,2490,Гадамес,Ghadames,yes,1,yes,1,
imported,2590,Вильнюс,Vilnius,yes,1,yes,1,
imported,2485,Дженне,Djenné,yes,1,yes,1,
imported,1934,Исторический город Томбукту,Timbuktu,yes,1,yes,1,
imported,2537,Оахака,Oaxaca,yes,1,yes,1,
imported,2545,Пуэбла,Puebla,yes,1,yes,1,
imported,2549,Керетаро,Querétaro,yes,1,yes,1,
imported,2595,Сочимилько,Xochimilco,yes,1,yes,1,
imported,2599,Сакатекас,Zacatecas,yes,1,yes,1,
imported,2515,Котор,Kotor,yes,1,yes,1,
imported,2462,Бхактапур,Bhaktapur,yes,1,yes,1,
imported,2511,Катманду,Kathmandu,yes,1,yes,1,
imported,2450,Амстердам,Amsterdam,yes,1,yes,1,
imported,2546,Пюрмеренд,Purmerend,yes,1,yes,1,
imported,2445,Агадес,Agadez,yes,1,yes,1,
imported,2538,Охрид,Ohrid,yes,1,yes,1,
imported,2459,Берген,Bergen,yes,1,yes,1,
imported,2452,Арекипа,Arequipa,yes,1,yes,1,
imported,2521,Лима,Lima,yes,1,yes,1,
imported,2527,Миагао,Miagao,yes,1,yes,1,
imported,2516,Краков,Kraków,yes,1,yes,1,
imported,2582,Торунь,Torun,yes,1,yes,1,
imported,2592,Варшава,Warsaw,yes,1,yes,1,
imported,2600,Замосць,Zamosc,yes,1,yes,1,
imported,2498,Гимарайнш,Guimarães,yes,1,yes,1,
imported,2568,Синтра,Sintra,yes,1,yes,1,
imported,2451,Андон,Andong,yes,1,yes,1,
imported,2493,Кимхэ,Gimhae,yes,1,yes,1,
imported,2495,Конджу,Gongju,yes,1,yes,1,
imported,2499,Кванджу,Gwangju,yes,1,yes,1,
imported,2500,Кёнджу,Gyeongju,yes,1,yes,1,
imported,2507,Иксан,Iksan,yes,1,yes,1,
imported,2575,Сувон,Suwon,yes,1,yes,1,
imported,2596,Янсан,Yangsan,yes,1,yes,1,
imported,2597,Йонджу,Yeongju,yes,1,yes,1,
imported,2463,Бьертан,Biertan,yes,1,yes,1,
imported,2566,Сигишоара,Sighisoara,yes,1,yes,1,
imported,2481,Дакар,Dakar,yes,1,yes,1,
imported,2457,Бардеёв,Bardejov,yes,1,yes,1,
imported,2510,Карлскруна,Karlskrona,yes,1,yes,1,
imported,2591,Висбю,Visby,yes,1,yes,1,
imported,2461,Берн,Bern,yes,1,yes,1,
imported,2448,Алеппо,Aleppo,yes,1,yes,1,
imported,2482,Дамаск,Damascus,yes,1,yes,1,
imported,2235,Кайруан,Kairouan,yes,1,yes,1,
imported,2585,Тунис,Tunis,yes,1,yes,1,
imported,2468,Бурса (город),Bursa,yes,1,yes,1,
imported,2514,Конья,Konya,yes,1,yes,1,
imported,2378,Стамбул,Istanbul,yes,1,yes,1,
imported,2475,Черновцы,Chernivtsi,yes,1,yes,1,
imported,2517,Киев,Kyiv,yes,1,yes,1,
imported,2488,Фрай-Бентос,Fray Bentos,yes,1,yes,1,
imported,2513,Хива,Khiva,yes,1,yes,1,
imported,1096,Гималаи,Himalayas,yes,1,yes,1,
imported,1097,Каракорум (горная система),Karakoram,yes,1,yes,1,
imported,1094,Панджшерское ущелье,Panjshir Valley,yes,1,yes,1,
imported,1095,Регистан (пустыня),Registan Desert,yes,1,yes,1,
imported,855,Ваханский коридор,Wakhan Corridor,yes,1,yes,1,
imported,1101,Проклетие,Accursed Mountains,yes,1,yes,1,
imported,1405,Древний город Бутринт,Butrint,yes,1,yes,1,
imported,1099,Дешати,Deshat,yes,1,yes,1,
imported,1100,Динарское нагорье,Dinaric Alps,yes,1,yes,1,
imported,1103,Каньон Осуми,Osum Canyon,yes,1,yes,1,
imported,1106,Орес (горы),Aurès Mountains,yes,1,yes,1,
imported,1407,Древний город Джемила,Djémila,yes,1,yes,1,
imported,1109,Мзаб (долина),M'zab,yes,1,yes,1,
imported,1409,Древний город Тимгад,Timgad,yes,1,yes,1,
imported,1408,Древний город Типаса,Tipasa,yes,1,yes,1,
imported,1112,Валира (река),Gran Valira,yes,1,yes,1,
imported,991,Мадриу-Перафита-Кларор,Madriu-Perafita-Claror Valley,yes,1,yes,1,
imported,858,Провал Тундавала,Tundavala Gap,yes,1,yes,1,
imported,1123,Холм Богги,Boggy Peak,yes,1,yes,1,
imported,1121,Анды,Andes,yes,1,yes,1,
imported,1124,Пролив Дрейка,Drake Passage,yes,1,yes,1,
imported,993,Эстерос-дель-Ибера,Esteros del Iberá,yes,1,yes,1,
imported,672,Полуостров Вальдес,Península Valdés,yes,1,yes,1,
imported,859,Ущелье Гарни,Garni Gorge,yes,1,yes,1,
imported,1127,Яманота,Jamanota,yes,1,yes,1,
imported,1141,Изар,Isar,yes,1,yes,1,
imported,1134,Нафкопф,Naafkopf,yes,1,yes,1,
imported,1142,Зальцах,Salzach,yes,1,yes,1,
imported,1425,Железная дорога Земмеринг,Semmering Railway,yes,1,yes,1,
imported,1139,Вахау,Wachau,yes,1,yes,1,
imported,1140,Циллерталь,Zillertal,yes,1,yes,1,
imported,861,Острова Хавар,Hawar Islands,yes,1,yes,1,
imported,1147,Персидский залив,Persian Gulf,yes,1,yes,1,
imported,1146,Сахир (пустыня),Sakhir,yes,1,yes,1,
imported,1154,Арденны (горы),Ardennes,yes,1,yes,1,
imported,864,Высокие Фенны,High Fens,yes,1,yes,1,
imported,1155,Рейнские Сланцевые горы,Rhenish Massif,yes,1,yes,1,
imported,1156,Звин,Zwin,yes,1,yes,1,
imported,1158,Дойлс-Делайт,Doyle's Delight,yes,1,yes,1,
imported,1159,Атакора,Togo Mountains,yes,1,yes,1,
imported,838,Комплекс природоохранных зон В-Арли-Пенджари,W-Arly-Pendjari Complex,yes,1,yes,1,
imported,1164,Чокхор (долина),Bumthang Valley,yes,1,yes,1,
